Statistical profiling result from isolate-0x101804a00-v8.log, (565 ticks, 6 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     18  100.0%    LazyCompile: *analyze /Users/mourner/projects/geobuf/encode.js:38:17
     18  100.0%      LazyCompile: ~analyze /Users/mourner/projects/geobuf/encode.js:38:17
     18  100.0%        LazyCompile: ~encode /Users/mourner/projects/geobuf/encode.js:21:16
     18  100.0%          Function: ~<anonymous> /Users/mourner/projects/geobuf/debug/bench.js:1:11
     18  100.0%            LazyCompile: ~Module._compile module.js:380:37

     15    2.7%  v8::internal::List<v8::internal::Handle<v8::internal::Object>, v8::internal::ZoneAllocationPolicy>::Add(v8::internal::Handle<v8::internal::Object> const&, v8::internal::ZoneAllocationPolicy)
     15  100.0%    /usr/local/bin/node
     15  100.0%      LazyCompile: ~parse native json.js:43:19
     15  100.0%        LazyCompile: Module._extensions..json module.js:427:39
     15  100.0%          LazyCompile: ~Module.load module.js:348:33
     15  100.0%            LazyCompile: Module._load module.js:285:24

     14    2.5%  v8::internal::JsonParser<true>::ParseJsonArray()
     14  100.0%    /usr/local/bin/node
     14  100.0%      LazyCompile: ~parse native json.js:43:19
     14  100.0%        LazyCompile: Module._extensions..json module.js:427:39
     14  100.0%          LazyCompile: ~Module.load module.js:348:33
     14  100.0%            LazyCompile: Module._load module.js:285:24

